code,LISA_Cluster,LISA_P_Value
E01000809,0,0.181
E01000810,0,0.331
E01000811,0,0.089
E01000812,0,0.249
E01000813,0,0.385
E01000814,0,0.471
E01000815,0,0.148
E01000816,0,0.083
E01000818,3,0.005
E01000819,0,0.353
E01000820,0,0.054
E01000822,0,0.449
E01000823,0,0.243
E01000824,0,0.363
E01000825,0,0.237
E01000826,0,0.441
E01000827,0,0.261
E01000828,0,0.342
E01000829,0,0.102
E01000830,0,0.067
E01000831,0,0.423
E01000832,2,0.026
E01000833,0,0.425
E01000834,0,0.133
E01000835,0,0.211
E01000836,0,0.14
E01000837,0,0.458
E01000838,1,0.048
E01000839,0,0.202
E01000840,0,0.121
E01000841,0,0.146
E01000842,3,0.03
E01000843,0,0.101
E01000844,3,0.022
E01000845,0,0.086
E01000846,0,0.064
E01000847,3,0.036
E01000848,0,0.114
E01000849,0,0.057
E01000850,0,0.067
E01000851,0,0.184
E01000852,0,0.178
E01000853,4,0.011
E01000854,0,0.108
E01000855,0,0.461
E01000856,0,0.261
E01000857,0,0.289
E01000858,0,0.354
E01000859,0,0.373
E01000860,0,0.253
E01000861,3,0.005
E01000862,0,0.47
E01000863,0,0.086
E01000864,3,0.014
E01000865,0,0.085
E01000866,0,0.15
E01000867,0,0.113
E01000868,0,0.232
E01000869,3,0.029
E01000870,0,0.102
E01000871,3,0.034
E01000872,3,0.017
E01000873,0,0.065
E01000874,0,0.153
E01000875,3,0.026
E01000876,0,0.137
E01000877,0,0.071
E01000878,0,0.056
E01000879,0,0.104
E01000880,3,0.008
E01000881,3,0.037
E01000882,0,0.084
E01000883,3,0.008
E01000884,3,0.004
E01000885,3,0.008
E01000886,4,0.014
E01000887,3,0.042
E01000888,3,0.018
E01000889,3,0.042
E01000890,0,0.141
E01000891,0,0.136
E01000892,0,0.053
E01000893,3,0.002
E01000894,3,0.01
E01000895,3,0.031
E01000896,0,0.056
E01000897,0,0.073
E01000898,0,0.133
E01000899,3,0.002
E01000900,3,0.008
E01000901,0,0.116
E01000902,0,0.11
E01000903,3,0.035
E01000904,0,0.11
E01000905,0,0.096
E01000906,3,0.019
E01000907,3,0.009
E01000908,3,0.002
E01000909,3,0.002
E01000910,0,0.054
E01000911,0,0.052
E01000912,3,0.023
E01000913,3,0.001
E01000914,1,0.039
E01000915,0,0.215
E01000916,1,0.013
E01000917,2,0.004
E01000918,0,0.131
E01000919,2,0.002
E01000920,0,0.266
E01000921,0,0.26
E01000922,0,0.176
E01000923,0,0.209
E01000924,0,0.118
E01000925,0,0.237
E01000926,3,0.022
E01000927,0,0.066
E01000928,0,0.052
E01000929,3,0.008
E01000930,3,0.004
E01000931,3,0.023
E01000932,0,0.055
E01000933,3,0.012
E01000934,3,0.01
E01000935,3,0.024
E01000936,0,0.13
E01000937,0,0.43
E01000938,0,0.151
E01000939,3,0.026
E01000940,3,0.049
E01000941,4,0.004
E01000942,0,0.259
E01000943,3,0.012
E01000944,0,0.141
E01000945,4,0.027
E01000946,3,0.004
E01000947,0,0.14
E01000948,3,0.039
E01000949,0,0.125
E01000950,3,0.034
E01000951,3,0.045
E01000952,3,0.027
E01000953,4,0.043
E01000954,0,0.322
E01000955,0,0.495
E01000956,0,0.16
E01000957,0,0.071
E01000958,0,0.124
E01000959,3,0.024
E01000960,3,0.008
E01000961,3,0.012
E01000962,3,0.009
E01000963,3,0.013
E01000964,3,0.011
E01000965,3,0.048
E01000966,3,0.03
E01000967,3,0.036
E01000968,3,0.044
E01000969,3,0.009
E01000970,0,0.15
E01000971,0,0.234
E01000972,3,0.005
E01000973,3,0.017
E01000974,3,0.008
E01000975,0,0.136
E01000976,0,0.379
E01000977,0,0.423
E01000978,0,0.32
E01000979,0,0.477
E01000980,0,0.159
E01000981,1,0.04
E01000982,0,0.063
E01000983,0,0.097
E01000984,0,0.139
E01000985,0,0.089
E01000986,1,0.023
E01000987,0,0.095
E01000989,0,0.065
E01000990,0,0.465
E01000991,0,0.139
E01000992,2,0.009
E01000993,1,0.048
E01000994,1,0.019
E01000995,1,0.003
E01000996,1,0.004
E01000997,1,0.002
E01000998,1,0.003
E01000999,1,0.002
E01001000,1,0.044
E01001001,1,0.036
E01001002,0,0.053
E01001003,1,0.004
E01001004,2,0.009
E01001005,0,0.067
E01001006,1,0.002
E01001007,1,0.04
E01001008,1,0.006
E01001009,1,0.037
E01001010,0,0.091
E01001011,0,0.051
E01001012,0,0.179
E01001013,0,0.284
E01001014,0,0.101
E01001015,0,0.112
E01001016,0,0.163
E01001018,0,0.086
E01001019,0,0.103
E01001020,0,0.099
E01001023,0,0.111
E01001024,1,0.05
E01001028,1,0.014
E01001029,0,0.383
E01001030,0,0.127
E01001031,1,0.026
E01001032,0,0.389
E01001033,0,0.329
E01001034,0,0.14
E01001035,0,0.077
E01001036,0,0.213
E01001037,0,0.126
E01001038,0,0.386
E01001039,0,0.469
E01001040,0,0.462
E01001041,0,0.457
E01001042,0,0.054
E01001043,0,0.057
E01001044,0,0.071
E01001045,0,0.065
E01001046,0,0.145
E01001047,0,0.278
E01001048,0,0.18
E01001049,0,0.181
E01001050,0,0.194
E01001051,0,0.131
E01001052,0,0.276
E01001053,0,0.369
E01001054,0,0.275
E01001055,0,0.096
E01001056,0,0.397
E01001057,0,0.498
E01001058,0,0.471
E01001059,0,0.075
E01001061,0,0.474
E01001062,0,0.182
E01001063,1,0.05
E01001064,0,0.215
E01001065,0,0.148
E01001066,0,0.097
E01001067,0,0.46
E01001068,0,0.439
E01001069,0,0.388
E01001070,0,0.309
E01001073,0,0.431
E01001074,0,0.183
E01001075,0,0.415
E01001076,0,0.453
E01001077,0,0.407
E01001078,0,0.295
E01001079,0,0.147
E01001080,0,0.431
E01001082,0,0.449
E01001083,0,0.496
E01001084,0,0.31
E01001085,0,0.291
E01001086,0,0.195
E01001087,0,0.084
E01001088,0,0.163
E01001089,0,0.464
E01001090,0,0.26
E01001091,0,0.085
E01001092,0,0.428
E01001093,0,0.495
E01001094,1,0.05
E01001095,0,0.061
E01001096,0,0.222
E01001097,0,0.175
E01001098,0,0.37
E01001099,0,0.48
E01001100,0,0.152
E01001101,0,0.155
E01001102,1,0.028
E01001103,0,0.127
E01001107,2,0.02
E01001108,0,0.075
E01001109,0,0.397
E01001110,0,0.418
E01001111,0,0.208
E01001112,0,0.414
E01001113,0,0.233
E01001114,1,0.039
E01001115,0,0.253
E01001116,0,0.19
E01001117,2,0.009
E01001118,0,0.321
E01001120,0,0.071
E01001122,0,0.422
E01001123,0,0.185
E01001124,0,0.233
E01001125,0,0.201
E01001126,0,0.281
E01001127,0,0.159
E01001128,0,0.394
E01001129,0,0.104
E01001130,0,0.382
E01001131,1,0.036
E01001132,0,0.056
E01001133,0,0.069
E01001134,1,0.006
E01001135,0,0.207
